name,lat,lon,since_year,ward_hint,source_url,notes
Swargate,18.5004949,73.8529037,2020,Kasba-Vishrambaugwada,https://www.hindustantimes.com/cities/pune-news/pune-civic-body-begins-monsoon-preparedness-to-act-on-201-flood-prone-spots-101745433680626.html,Central traffic / low-drain node
Kharadi,18.5512763,73.9416575,2024,Hadapsar-Mundhwa,https://www.thebridgechronicle.com/news/pune-monsoon-201-flood-prone-areas-2025,Urban expansion waterlogging
Hinjewadi / Wakad approach,18.5920497,73.7579029,2024,Aundh-Baner,https://www.thebridgechronicle.com/news/pune-monsoon-201-flood-prone-areas-2025,IT corridor drainage stress
Warje – Karvenagar,18.4820,73.8020,2025,Warje-Karvenagar,https://www.hindustantimes.com/cities/pune-news/pune-civic-body-begins-monsoon-preparedness-to-act-on-201-flood-prone-spots-101745433680626.html,HT ward count (4); hand-placed
Kothrud Paud Road dip,18.5074,73.8077,2024,Kothrud-Bavdhan,https://www.hindustantimes.com/cities/pune-news/pune-civic-body-begins-monsoon-preparedness-to-act-on-201-flood-prone-spots-101745433680626.html,HT ward cluster Kothrud-Bavdhan
Karvenagar lane waterlogging,18.4890,73.8150,2025,Warje-Karvenagar,https://www.hindustantimes.com/cities/pune-news/pmc-identifies-28-new-flood-prone-spots-across-city-after-first-spell-of-rain-101748372179789.html,Zone 3 new-spot context
Sahakarnagar junction,18.4680,73.8580,2023,Dhankawadi-Sahakarnagar,https://www.hindustantimes.com/cities/pune-news/pune-civic-body-begins-monsoon-preparedness-to-act-on-201-flood-prone-spots-101745433680626.html,Ward cluster
Yerawada low stretch,18.5600,73.8900,2022,Yerawada-Kalas-Dhanori,https://www.hindustantimes.com/cities/pune-news/pune-civic-body-begins-monsoon-preparedness-to-act-on-201-flood-prone-spots-101745433680626.html,Ward cluster
Dhole Patil Road dip,18.5390,73.8980,2024,Dhole Patil,https://www.hindustantimes.com/cities/pune-news/pune-civic-body-begins-monsoon-preparedness-to-act-on-201-flood-prone-spots-101745433680626.html,HT ward count 7
Kasba Peth nalla mouth,18.5190,73.8570,2021,Kasba-Vishrambaugwada,https://www.hindustantimes.com/cities/pune-news/pune-civic-body-begins-monsoon-preparedness-to-act-on-201-flood-prone-spots-101745433680626.html,Central city drainage
Bhavani Peth choke point,18.5100,73.8650,2023,Kasba-Vishrambaugwada,https://www.hindustantimes.com/cities/pune-news/pmc-identifies-28-new-flood-prone-spots-across-city-after-first-spell-of-rain-101748372179789.html,Zone 5 context
Ramtekdi industrial dip,18.5040,73.9200,2025,Hadapsar-Mundhwa,https://www.hindustantimes.com/cities/pune-news/pmc-identifies-28-new-flood-prone-spots-across-city-after-first-spell-of-rain-101748372179789.html,Zone 4 new spots
Mundhwa village road,18.5320,73.9460,2025,Hadapsar-Mundhwa,https://www.hindustantimes.com/cities/pune-news/pune-civic-body-begins-monsoon-preparedness-to-act-on-201-flood-prone-spots-101745433680626.html,Top ward cluster
Balewadi high street dip,18.5780,73.7700,2025,Aundh-Baner,https://www.hindustantimes.com/cities/pune-news/pmc-identifies-28-new-flood-prone-spots-across-city-after-first-spell-of-rain-101748372179789.html,Zone 2
Pashan Sus Road low point,18.5430,73.7820,2024,Aundh-Baner,https://www.thebridgechronicle.com/news/pune-monsoon-201-flood-prone-areas-2025,Urban expansion drainage
NIBM Kondhwa Road,18.4700,73.9000,2023,Kondhwa-Yewalewadi,https://www.hindustantimes.com/cities/pune-news/pune-civic-body-begins-monsoon-preparedness-to-act-on-201-flood-prone-spots-101745433680626.html,Kondhwa cluster
